고유번호,사용여부,브랜드,제품명,단계,정가,판매가,올리브영링크,제형,피부타입,고민,상황,이런분께,핵심포인트,태그
torriden-dive-in-serum,Y,Torriden,다이브인 저분자 히알루론산 세럼 50ml,세럼,22000,15400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190326,가벼움,지성 / 복합성 / 수부지 / 보통 / 민감성,수분 / 결,데이트 / 데일리 / 여행 / 야근,"지성/수부지, 메이크업 전","가벼운 텍스처, 즉각적인 수분길 오픈",#수분폭탄 #화장찰떡
aestura-atobarrier365-cream,Y,AESTURA,아토베리어365 크림 80ml,크림,31000,24800,,쫀쫀함,건성 / 민감성 / 복합성,수분 / 진정,데이트 / 데일리 / 야근,"건성/민감성, 전날 밤 철벽보습",캡슐 세라마이드로 피부장벽 강화,#보습장벽 #올영1위
oliveyoung-careplus-spot-patch,Y,올리브영,케어플러스 상처커버 스팟패치 102매,패치,6500,5520,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187728,가벼움,건성 / 지성 / 복합성 / 민감성 / 수부지 / 보통,진정,데이트 / 야근 / 여행 / 데일리,눈에 띄는 트러블이 고민일 때,얇은 테두리로 화장 후에도 감쪽같음,#국민패치 #티안나는
goodal-green-tangerine-serum,Y,goodal,청귤 비타C 잡티 케어 세럼 30ml,세럼,28000,21000,,가벼움,복합성 / 지성 / 보통 / 민감성,미백,데이트 / 데일리 / 야근,칙칙한 안색이 고민인 분,저자극 비타민C로 생기 급속 충전,#형광등피부 #잡티이별
numbuzin-no3-serum,Y,numbuzin,3번 보들보들 결 세럼 50ml,세럼,22000,15400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166420,보통,보통 / 복합성 / 건성 / 수부지,결 / 미백,데이트 / 데일리,피부가 푸석하고 요철이 부각될 때,발효 성분으로 깐달걀 피부결 완성,#결광피부 #깐달걀결
laneige-water-sleeping-mask,Y,LANEIGE,워터 슬리핑 마스크 EX 70ml,슬리핑팩,32000,27200,,보통,수부지 / 복합성 / 보통 / 건성,수분,야근 / 여행 / 데일리,스킨케어도 귀찮은 극도의 피로 상태,"바르고 자면 끝, 밤사이 집중 수분공급",#수면팩 #초간편수분
anua-heartleaf-77-toner,Y,Anua,어성초 77 수딩 토너 250ml,토너,30500,21350,,가벼움,지성 / 복합성 / 민감성,진정 / 피지,야근 / 데일리 / 여행,피부 열감이 오르고 붉어졌을 때,어성초 77%로 닦아내듯 열감 쿨링,#즉각진정 #어성초듬뿍
abib-heartleaf-sticker-mask,Y,Abib,어성초 스티커 마스크팩 1매,마스크팩,4000,2000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188019,가벼움,민감성 / 지성 / 복합성,진정,야근 / 데이트 / 데일리,빠르고 확실한 집중 진정이 필요할 때,초밀착 시트로 에센스 남김없이 흡수,#밀착진정 #야근템
isoi-blemish-care-up-serum,Y,isoi,블레미쉬 케어 업 세럼 35ml,세럼,54000,43200,,쫀쫀함,건성 / 보통 / 민감성,미백 / 탄력,야근 / 데이트,야근으로 다크서클이 짙어졌을 때,액체 다이아몬드 로즈오일로 생기 부여,#명품장미 #생기충전
stridex-sensitive-pad,Y,STRIDEX,센시티브 패드 (BHA) 90매,토너패드,14000,10500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000114166,가벼움,지성 / 복합성,결 / 피지,야근 / 데일리,클렌징과 각질 정돈을 한 번에 원할 때,"BHA 성분으로 묵은 각질, 피지 딥클렌징",#모공청소 #귀차니즘해결
dalba-white-truffle-mist,Y,d'Alba,화이트 트러플 퍼스트 스프레이 세럼 100ml,미스트,29900,23900,,보통,건성 / 보통 / 수부지,수분,여행 / 데이트 / 데일리,수시로 건조함을 느끼는 이동 중,오일보습막으로 날아가지 않는 쫀쫀함,#승무원미스트 #건조함타파
illiyoon-ceramide-ato-lotion,Y,ILLIYOON,세라마이드 아토 로션 50ml,로션,5000,4500,,보통,건성 / 민감성 / 보통,수분 / 진정,여행 / 데일리,휴대성 좋은 확실한 보습제가 필요할 때,"얼굴부터 바디까지, 만능 세라마이드 로션",#여행용 #장벽보습
drg-red-blemish-soothing-cream,Y,Dr.G,레드 블레미쉬 클리어 수딩 크림 70ml,크림,38000,22800,,보통,민감성 / 복합성 / 지성,진정 / 수분,여행 / 야근 / 데일리,"물갈이, 자극으로 피부가 뒤집어졌을 때",5-시카 컴플렉스로 수분 진정 쿨링,#군마트대란템 #물갈이대비
espoir-water-splash-sun,Y,eSpoir,워터 스플래쉬 선크림 세라마이드 60ml,선크림,22000,15400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179353,가벼움,건성 / 보통 / 복합성,미백 / 자외선,여행 / 데이트 / 데일리,야외 활동 시 덧바를 선크림이 필요할 때,수분 크림처럼 촉촉하고 핑크빛 톤업,#촉촉선크림 #여행필수템
skinfood-carrot-pad,Y,SKINFOOD,캐롯 카로틴 카밍 워터 패드 60매,토너패드,26000,18200,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143285,가벼움,민감성 / 보통 / 복합성,결 / 진정,여행 / 데일리 / 야근,자극 없이 부드러운 각질/진정 케어,도톰한 순면 패드로 마찰 자극 최소화,#당근패드 #순한결케어
roundlab-birch-moisture-cream,Y,ROUND LAB,자작나무 수분 크림 80ml,크림,32000,22400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141723,가벼움,복합성 / 지성 / 수부지 / 보통,수분,데일리 / 데이트 / 여행,무겁지 않고 산뜻한 데일리 크림,자작나무 수액으로 속건조 완벽 케어,#올영1등수분 #산뜻촉촉
makeprem-safe-me-cleansing-foam,Y,make p:rem,세이프 미 릴리프 모이스처 클렌징폼 150ml,클렌징,16000,12800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113670,가벼움,민감성 / 건성 / 보통 / 복합성,수분 / 진정,데일리 / 야근,세안 후 당김 없는 순한 클렌징,pH5.5 약산성으로 수분 장벽 보호,#약산성 #데일리세안
mediheal-teatree-mask,Y,MEDIHEAL,티트리 에센셜 마스크 1매,마스크팩,2000,1000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160659,가벼움,지성 / 복합성 / 민감성,진정,데일리 / 야근,1일 1팩으로 데일리 진정 관리,티트리 성분으로 피부 스트레스 완화,#국민팩 #1일1팩
manyo-galac-niacin-essence,Y,ma:nyo,갈락토미 나이아신 에센스 50ml,에센스,29000,20300,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000120924,가벼움,보통 / 복합성 / 수부지 / 지성,미백 / 결,데일리 / 데이트,매일 맑아지는 투명한 피부를 원할 때,나이아신아마이드로 데일리 미백 케어,#맑은톤 #매일투명하게
bioheal-probioderm-lifting-cream,Y,BIOHEAL BOH,프로바이오덤 리프팅 크림 50ml,크림,33000,26400,,쫀쫀함,보통 / 건성 / 복합성,탄력 / 결,데일리 / 데이트,미리미리 피부 탄력을 관리하고 싶은 분,프로바이오틱스로 쫀쫀한 피부결 완성,#탄탄결 #바르는유산균
bioheal-panthenol-cica-cream,Y,BIOHEAL BOH,판테놀 시카 블레미쉬 크림 75ml,크림,32000,24000,,보통,민감성 / 건성 / 복합성 / 지성,진정 / 수분,데일리 / 야근 / 여행 / 데이트,피부가 예민하고 기초 공사가 필요할 때,판테놀과 시카의 꿀조합으로 장벽 리페어,#장벽강화 #기본충실
